@relation 'all news tweets'

@attribute Content string
@attribute Time {11/20/2023,11/22/2023,11/19/2023,11/17/2023,11/21/2023,10/29/2023,11/18/2023,11/14/2023,10/12/2023,11/6/2023,11/1/2023,10/10/2023,10/31/2023,10/15/2023,10/16/2023,10/27/2023,10/17/2023,10/30/2023,10/11/2023,11/12/2023,10/14/2023,11/10/2023,11/15/2023,11/3/2023,11/9/2023,11/16/2023,10/13/2023,11/13/2023,10/24/2023,11/5/2023,11/8/2023,11/23/2023,10/19/2023,10/9/2023,10/26/2023,10/18/2023,10/23/2023,11/7/2023,11/4/2023,11/11/2023,10/21/2023,10/28/2023,11/2/2023,10/25/2023,10/22/2023,10/8/2023,10/20/2023}
@attribute Review numeric
@attribute RetweetNumber numeric
@attribute Like_Numbers numeric
@attribute Look_Numbers numeric
@attribute UserName {Palestine,Israel,SkyNews,IDF,BBCWorld,CNN,RT_com,CBNNews,Telegraph,FoxNews,Independent}
@attribute UserName_For_Label {Palestine,Israel}

@data
'7 weeks after Hamas massacre  Shani Gabay  previously presumed hostage  declared dead https://timesofisrael.com/7-weeks-after-hamas-massacre-shani-gabay-previously-presumed-hostage-declared-dead/? via @timesofisrael',11/22/2023,10,21,71,8800,Israel,Israel
'7/11With Moroccan design and about $100 million in international funding  the airport - with its single runway - opened for commercial aviation. A seaport for Gaza was also on the agenda  but that never materialized',11/20/2023,1,?,9,478,Israel,Israel
'7-year-old Jenan Omar Haddad is one of the countless victims of the ongoing Israeli genocide in #Gaza.',11/20/2023,32,915,1400,3500,Palestine,Palestine
'8/11Some 100 000 Palestinians passed through the airport in the first year after its inauguration. They traveled on 3 planes belonging to the Palestinian national airline and later also flights operated by EgyptAir  Royal Jordanian and Royal Air Maroc',11/20/2023,1,1,10,791,Israel,Israel
'9 years after Hadar Goldin?s capture in Gaza  fight to declare him ?kidnapped? continues https://timesofisrael.com/9-years-after-hadar-goldins-capture-in-gaza-fight-to-declare-him-kidnapped-continues/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/21/2023,8,9,18,6200,Israel,Israel
'9 years after Hadar Goldin?s capture in Gaza  fight to declare him ?kidnapped? continues https://timesofisrael.com/9-years-after-hadar-goldins-capture-in-gaza-fight-to-declare-him-kidnapped-continues/? via @timesofisrael',11/21/2023,2,4,13,500,Israel,Israel
'9/11In March 1999  Palestinian Airlines also launched flights carrying pilgrims from Gaza to Mecca for the first time',11/20/2023,1,?,9,558,Israel,Israel
'A 5-year-old child was beheaded by Israeli air strikes. #Gaza #Israel',11/20/2023,65,1200,1300,3800,Palestine,Palestine
'A beautiful tribute by Israel s national artistic swimming team in tribute to the 240 hostages being held by Hamas terrorists in Gaza.We will not stop until each and every one of them are brought home.@YoavBorowitz Adam Spiegel  Michel Braunstein',11/19/2023,100,702,3400,10800,IDF,?
'A bereaved father in #Gaza gives his little son -- murdered by Israeli airstrikes -- a last hug.#GazaGenocide',11/19/2023,82,1600,200,4500,Palestine,Palestine
'A bereaved mother desperately looks for her sons who were murdered in an Israeli airstrike on an UNRWA-run school in Bureij  central Gaza.',11/20/2023,19,355,358,1500,Palestine,Palestine
'A break in hostilities in the war on Gaza could benefit the Israeli militarily even though it could hurt PM Netanyahu politically http://aje.io/himskn',11/21/2023,45,179,465,5200,Palestine,Palestine
'A breaking expose by @HonestReporting reveals that three freelance journalists who work for major media outlets accompanied Hamas terrorists across the border on Oct 7  and reported from the horrific massacre. Here are a few examples from the report:',11/9/2023,954,200,5100,54900,IDF,?
'A campaign to boycott Western producers linked to Israel has reignited demand for an Egyptian soda brand founded by a Greek beekeeper http://aje.io/s7zqzy',11/19/2023,118,1200,4500,23400,Palestine,Palestine
'A cargo ship partially owned by an Israeli businessman was hijacked by Yemen s Houthi rebels in the Red Sea on Sunday  Israel confirmed on Sunday  accusing Iran of directing the maritime piracy.#Israel | #Houthis | #Iran | Read more:',11/19/2023,21,36,61,1800,Israel,Israel
'A CNN investigation has analyzed almost two years of training and propaganda video released by Hamas to reveal the months of preparations that went into last week s attack  finding that militants trained for the onslaught in at least six sites across Gaza. Watch here:',10/13/2023,802,1300,2300,91700,CNN,?
'A core strategy of today?s white nationalist movement is to regularly attach its exclusionary ideology to current events  like the Israel-Hamas war  seeking relevance and recruitment of new supporters | Opinion',11/21/2023,13,11,17,1200,Israel,Israel
'A deal isn?t yet assured. This is partly due to the remaining disputes between the sides  but also to Sinwar?s personality. Since the war began  Israel has found him increasingly difficult to understand / Amos Harel',11/21/2023,8,1,12,8200,Israel,Israel
'A deal to release some hostages in exchange for a pause in fighting in Gaza could be announced as soon as today  sources say. Follow live updates.',11/21/2023,349,95,240,21900,CNN,?
'A decades-old bin Laden letter condemning the US and its backing of Israel has surged in popularity on TikTok. People shared the document with a link to the translated version  posted in full on The Guardian website. The oulet later deleted the letter citing  lack of context ',11/17/2023,5,38,68,1000,RT_com,?
'A Defense Summit on a range of topics  including aid to Israel  hosted by the Politico media agency  was interrupted by an activist who brought attention to the dark side of the conflict.Follow us on Rumble: http://rumble.com/c/RTNews',11/16/2023,2,10,36,8700,RT_com,?
'A distracted West is about to snatch defeat from the jaws of victory in Ukraine Zelenskyy s forces desperately need bullets  shells  tanks ? and jets. The West is ignoring their pleas  | Writes @HamishDBG https://telegraph.co.uk/news/2023/11/21/israel-gaza-ukraine-zelensky-west-distracted/?',11/21/2023,27,21,33,1100,Telegraph,?
'A doctor and Palestinian health official based in Gaza told Al Jazeera that stray dogs are eating bodies of dead Palestinians left in the streets at the medical complex due to relentless Israeli fire.Other eyewitnesses in Gaza have also reported seeing dogs doing the same.',11/13/2023,14,869,896,4900,Palestine,Palestine
'A doctor who was caring for the elderly in Gaza has been killed in Israel s latest  barbaric attack  on a healthcare facility  says the director of al-Aqsa Hospital. LIVE updates',11/17/2023,31,202,273,4100,Palestine,Palestine
'A doctor  a tailor  and a bride-to-be: Stories of those killed in Gaza',11/3/2023,491,281,765,22900,BBCWorld,?
'A document found inside a pickup truck suggests Iran sought to help Hamas make its own weapons before the attack on Israel  sources say https://cnn.it/47zKMbo',11/15/2023,905,254,554,32100,CNN,?
'A fake Hamas site bragging about the October 7 attack on southern Israel and highlighting the number of Jews killed  wounded and kidnapped went online in recent days',11/20/2023,14,24,14,1200,Israel,Israel
'A family s desperate search for missing Tanzanian student in Israel',10/24/2023,79,40,191,20400,BBCWorld,?
'A father whose wounded daughter has been transported from northern to southern #Gaza:  [Oh doctos]  take both of my eyes and give them to my daughter. ',11/21/2023,40,932,100,2700,Palestine,Palestine
'A first group of #prematurely born babies who were evacuated from hospital in the #Gaza Strip crossed into Egypt for medical #treatment on Monday  according to live footage and Egypt s Al Qahera TV.',11/20/2023,6,15,31,7100,Israel,Israel
'A global influence campaign using fake websites masquerading as respectable news outlets that has previously been linked directly to Russia has renewed its disinformation efforts  publishing falsified reports about the Israel-Hamas war@omerbenj',11/20/2023,12,34,46,1800,Israel,Israel
'A grenade was discovered in the vicinity of a synagogue in Lakewood  New Jersey  according to a report by NBC Philadelphia on Sunday. #terrorism | #antisemitism | #Judaism',11/20/2023,10,16,33,1000,Israel,Israel
'A grenade was discovered in the vicinity of a synagogue in Lakewood  New Jersey  according to a report by NBC Philadelphia on Sunday.#NewJersey #Antisemitism #Judaism',11/19/2023,4,26,34,1000,Israel,Israel
'A grieving father in #Gaza says goodbye to his little daughter  brutally murdered by Israeli airstrikes last night.',11/19/2023,655,9600,1100,74600,Palestine,Palestine
'A grieving father says goodbye to his little son who was murdered by Israeli airstrikes in #Gaza last night.',11/22/2023,48,1200,1300,2300,Palestine,Palestine
'A grieving grandmother bids a final farewell for her slain granddaughter in #Gaza.',11/20/2023,61,1600,1900,5100,Palestine,Palestine
'A grieving mother bids a sorrowful farewell to her little son  brutally murdered by an Israeli airstrike in #Gaza.#GazaGenocide',11/21/2023,38,656,708,2200,Palestine,Palestine
'A group of 15 wounded Palestinians  including eight children  have been flown to the UAE for treatment after being evacuated from Gaza.? in pictures http://aje.io/x373xd',11/18/2023,102,283,713,7800,Palestine,Palestine
'A group of healthcare workers interrupt Senator Jack Reed demanding an immediate ceasefire and calling out Israel s targeting of hospitals and healthcare workers in Gaza.#GazaGenocide #CeasefireInGazaNOW',11/21/2023,43,980,1500,4100,Palestine,Palestine
'A group of premature babies evacuated from al Shifa hospital in Gaza arrive in Egypt.Read more on the the Israel-Hamas war https://trib.al/AIyQvVo',11/21/2023,44,14,27,2700,SkyNews,?
'A Hat Worn by Napoleon Sold for $2.1 Million at an Auction of the French Emperor s Belongings',11/21/2023,?,2,4,881,CBNNews,?
'A Hero in War  A Fighter at Home: Why WW1 Hero Sgt. Alvin York s Legacy Still Shines in Tennessee https://www2.cbn.com/news/us/hero-war-fighter-home-why-ww1-hero-sgt-alvin-yorks-legacy-still-shines-tennessee?',11/10/2023,?,3,11,1100,CBNNews,?
'A hostage situation that halted all flights at Hamburg Airport after a man smashed his car through security is over  police say. https://trib.al/B8c4I2K',11/5/2023,206,340,260,38300,CNN,?
'A Kremlin-run campaign is using the Israel-Hamas war to stir chaos  using foreign actors in Paris to paint antisemitic graffiti and fake news stories in various languages',11/22/2023,10,32,44,1300,Israel,Israel
'A large number of people were killed and wounded after an Israeli strike targeted al-Falah School in the south of Gaza City  which houses thousands of displaced people. LIVE updates: http://aje.io/we9eau',11/17/2023,32,213,190,4300,Palestine,Palestine
'A large show of solidarity for the Palestinian people was expressed in Iran amid a mass march in the country s capital. People rallied in support of Gaza and against US aid to Israel. RT s Yusef Jalali sent us this report from the demo.',11/20/2023,3,35,81,1100,RT_com,?
'A lot of adrenaline  a lot of unknowns : Reservists flock to join Israel s fight',10/10/2023,46,21,124,15700,BBCWorld,?
'A majority of New Yorkers believe Jews and Muslims are experiencing widespread discrimination and that such bigotry has increased since Hamas  Oct. 7 assault on Israel  according to a poll released on Monday.',11/21/2023,12,6,27,9500,Israel,Israel
'A march in support of #Gaza  organized by the Moroccan Front to Support #Palestine and Against Normalization with #Israel in the Moroccan city of Kenitra. #Morocco',11/19/2023,28,332,797,2400,Palestine,Palestine
'A mass funeral prayer was held this morning for scores of victims of the nonstop Israeli bombardment in Gaza.',11/20/2023,20,557,579,1700,Palestine,Palestine
'A massive crowd in Beirut  Lebanon  take part in the funeral procession of journalists Farah Omar and Rabih Al-Maamari  of the Al Mayadeen TV  who were killed yesterday in an Israeli artillery shelling in southern Lebanon.',11/22/2023,5,150,244,5700,Palestine,Palestine
'A massive demonstration in the Moroccan city of Tangier in support of #Gaza.',11/20/2023,20,395,862,2200,Palestine,Palestine
'A member of the political bureau of the #Iran-backed Houthi terrorist movement warned that his movement would continue its attacks until the  demise of #Israel  after the Houthis seized the Galaxy Leader in the Red Sea.',11/21/2023,13,21,36,9600,Israel,Israel
'A million people are now crammed into the Gazan city of Khan Younis and facing desperate shortagesOur reporter is one of them',10/15/2023,358,283,547,28700,BBCWorld,?
'A Miracle? Terrifying Photos Show Exactly Why Family Feels ?Blessed? After Dad  Baby Survived Horrific Crash https://faithwire.com/2023/11/07/a-miracle-terrifying-photos-show-exactly-why-family-feels-blessed-after-dad-baby-survived-horrific-crash/? via @faithwirenews',11/8/2023,1,1,6,1300,CBNNews,?
'A morning of funerals in #Gaza amid the ongoing Israeli genocide campaign.',11/22/2023,24,688,676,1700,Palestine,Palestine
'A morning of grief in #Gaza on day 44 of the ongoing Israeli genocide campaign.',11/19/2023,57,1400,1900,4900,Palestine,Palestine
'A mother hugs her son after she thought he had beeb killed by Israeli bombardment in Gaza.',11/21/2023,15,440,859,2100,Palestine,Palestine
'A musician and a soldier among US and Canada missing or dead in Israel',10/12/2023,114,45,155,15000,BBCWorld,?
'A new collaborative effort seeks to provide crucial support to farmers grappling with labor shortages and the impact of the war on their fields.@ZachyHennessey reports:#Farming | #Israel',11/20/2023,?,2,26,6500,Israel,Israel
'A new Israeli official investigation concluded that the Israeli military was responsible for killing revelers at the Nova Music festival on October 7.https://qudsnen.co/israeli-official-report-reveals-israeli-helicopter-killed-nova-festival-goers/?',11/19/2023,75,883,1200,6500,Palestine,Palestine
'A new settlement to be built in the Negev was chosen to be named after Ofir Liebstein  the former head of the Saar Negev Regional Council  murdered during the October 7 massacre.#Israel | #October7massacre',11/20/2023,8,12,34,800,Israel,Israel
'A number of hospitals were surrounded and at least five people were killed as Israeli forces launched a major raid on Jenin in the occupied West Bank http://aje.io/8z1ukw',11/17/2023,29,137,169,2600,Palestine,Palestine
'A number of suspects were arrested on Tuesday by Jerusalem Police after posting on social media of #incitement of #terrorism and violence  showing their support for Hamas terrorists  and calls for riots in east Jerusalem  according to Israeli media.',11/21/2023,6,17,55,6900,Israel,Israel
'A Palestine solidarity protester disrupted the Cricket World Cup final in India by invading the pitch and stopping play briefly while wearing a T-shirt and a face mask in the colours of the Palestinian flag. LIVE updates: http://aje.io/kebz8',11/19/2023,41,180,530,5700,Palestine,Palestine
'A Palestinian American family is mourning 42 relatives killed in a single day in Gaza. The deceased range in age from three months to 77. https://trib.al/G6XuA22',11/1/2023,1300,3400,5400,4600000,CNN,?
'A Palestinian campaign group operating legally in London was designated an unlawful organisation by the Israeli government over disputed claims of links with the Hamas terror group',11/19/2023,?,7,14,9700,Telegraph,?
'A Palestinian child holds the body of his little brother  a baby  who was murdered in an Israeli airstrike last night in Deir el-Balah.#GazaGenocide',11/21/2023,142,4800,4900,16900,Palestine,Palestine
'A Palestinian family in north Gaza heeded warnings to flee their home. The next day  an Israeli airstrike killed them. https://cnn.it/3Q1YEUz',10/16/2023,582,419,629,47600,CNN,?
'A Palestinian father who was pulled out alive from under the rubble desperately waits for his children at hospital. The father does not yet know whether his children are alive or not following the Israeli bombardment of their home.#GazaGenocide',11/22/2023,53,200,2100,3000,Palestine,Palestine
'A Palestinian man breaks down over the murder of his elderly mother in an Israeli airstrike in #Gaza.',11/21/2023,52,200,2400,5900,Palestine,Palestine
'A photo of IDF soldiers  uploaded on Monday  shows them standing in front of Gaza s Supreme Court  according to Israeli media.#IDF | #Gaza | #GazaSupremeCourt',11/20/2023,17,7,26,7700,Israel,Israel
'A picture of #Palestinian youth Mohammad Sarahin  who was killed by Israeli occupation forces in the town of Beit Ula  north of Hebron in the occupied West Bank  this morning.',11/20/2023,32,330,430,1600,Palestine,Palestine
'A picture of the Al-Mayadeen TV photographer  Rabih Al-Maamari  and reporter  Farah Omar  who were killed this afternoon in an Israeli artillery bombardment in the village of Tayr Harfa in southern Lebanon.',11/21/2023,114,3500,4200,15300,Palestine,Palestine
'A professor at a Russell Group university said in the wake of the Hamas attacks on Israel on Oct 7 that the terror group had to act  and quickly so',11/19/2023,?,6,3,9300,Telegraph,?
'A pro-Palestinian protester stormed the field at the Narendra Modi Stadium on Sunday  disrupting the cricket World Cup final between India and Australia.Read more below:',11/19/2023,13,7,24,1000,Israel,Israel
'A protest in Ramallah  organized by the BDS  movement; condemning the occupation s massacres and calling for pressure to stop the Israeli aggression on the #Gaza Strip.',11/21/2023,18,269,458,1600,Palestine,Palestine
'A Qatari official has confirmed that negotiations to free captives taken by Hamas are at their closest point and have reached the final stage. LIVE updates',11/21/2023,26,78,147,3700,Palestine,Palestine
'A recent survey of Palestinians indicates nearly 60 percent of respondents very much supported the ?military operation carried out by the Palestinian resistance led by Hamas on October 7.? Why? / @dahliasc',11/22/2023,47,22,54,1700,Israel,Israel
'A resolution calling for  humanitarian pauses  in Gaza was adopted at the UN Security Council. However  a Russian amendment to that resolution  which would push for a fully-fledged ceasefire  was vetoed by Washington alone.',11/17/2023,30,150,230,1300,RT_com,?
'A Russia-linked global influence campaign using fake websites masquerading as respectable news outlets has renewed its disinformation efforts in recent weeks  focusing on the Israel-Hamas war / @omerbenj',11/20/2023,13,22,27,1700,Israel,Israel
'A senior #Israeli source and a senior member of #Hamas rejected a report that cited an unnamed source from Hamas that an agreement to start a ceasefire on Monday and release a number of hostages had been reached on Sunday.',11/20/2023,16,20,43,9900,Israel,Israel
'A senior Israeli source rejected a reported claim by a source from Hamas that an agreement to start a ceasefire on Monday and release a number of hostages had been reached on Sunday.#Gazahostages | #Gazaceasefire | #Hamas',11/20/2023,5,11,38,1300,Israel,Israel
'A society that aspires to change for the better must rise from a crisis and think about reality. Because even after the crushing of Hamas and the paralyzing of the PA  the Palestinian people will not go away / Jack Khoury',11/20/2023,3,8,27,700,Israel,Israel
'A Spanish politician who said that Palestinians have the right to resist after decades of occupation on October 7  was named Spain s minister of children and youth on Monday.#Spain #October7massacre #Palestinians',11/20/2023,540,1800,2200,17700,Israel,Israel
'A surgeon in #Gaza had to do an amputation surgery on his own child s leg without anesthesia. Then he watched his child die from the unbearable pain. #GazaGenocide',11/21/2023,502,1000,1100,1500000,Palestine,Palestine
'A surgeon in Gaza s al-Shifa Hospital describes what s happening as Israeli forces raid the medical facility.',11/17/2023,16,455,418,2900,Palestine,Palestine
'A swastika and a Jewish star were found scrawled on the door of a synagogue on Manhattan?s Upper West Side on Tuesdayhttps://haaretz.com/israel-news/2023-11-22/ty-article-live/israeli-cabinet-okays-deal-for-release-of-50-hostages-held-by-hamas-temporary-cease-fire/0000018b-f52c-d117-abcf-f7ef5d450000?',11/22/2023,32,6,25,1000,Israel,Israel
'A total of 108 trucks of humanitarian aid have entered Gaza in the past eight days.',10/30/2023,1800,619,1600,22600,IDF,?
'A tragic illustration of the international toll of ongoing war: Thai migrant farmers in Israel describe trauma of Hamas massacre while facing pressure to return to work. https://trib.al/BFk9R6B',10/30/2023,264,84,233,26800,CNN,?
'A two-year-old toddler was found walking the streets of Tel Aviv alone early on Monday morning  amid heavy rain and winds.#Israel | Read more:',11/20/2023,37,15,23,1100,Israel,Israel
'A U.S. official reveals how the agreement to release 50 hostages in the coming days was finally struck',11/22/2023,4,8,17,9100,Israel,Israel
'A video entitled We will not stop until they return  was shared by the Sha ar Hatzafon Mall on November 20 in honor of World Children s Day and in support of the hostages that were kidnapped by Hamas. Read more: http://bit.ly/3R9ppbb',11/21/2023,12,23,63,8500,Israel,Israel
'A video entitled We will not stop until they return  was shared in honor of International Children s Day and in support of the hostages that were kidnapped by Hamas.#Israel | #IsraelHostages',11/21/2023,41,99,303,1100,Israel,Israel
'A visibly shaken US secretary of state evoked the brutality of Hamas  attack  but also said the US is pressing Israel to minimize civilian casualtieshttps://trib.al/dfDBJg4',11/3/2023,837,129,294,35200,CNN,?
'A young Palestinian is shot and injured during Israeli raids in the occupied West Bank  including one in Arraba  southwest of Jenin  leading to clashes with local youth  reports the Palestinian Red Crescent. LIVE updates: http://aje.io/pbvd83',11/21/2023,10,92,128,3200,Palestine,Palestine
'A young Palestinian man was trembling and crying while trying to reach his friend after an Israeli air strike destroyed their house in Gaza s Deir el-Balah',11/20/2023,1200,9500,1400,55100,Palestine,Palestine
' Abortion Until the Moment of Birth : Activists Launch Late-Term Abortion Measure in Red State',11/17/2023,1,6,10,100,CBNNews,?
'About 1 320 aid trucks  excluding fuel tankers  have entered the Gaza Strip from October 7 to November 20.The UN has warned of a humanitarian catastrophe and pleaded for Israel to allow more aid trucks into the besieged enclave. LIVE updates: http://aje.io/pbvd83',11/21/2023,20,110,141,3300,Palestine,Palestine
'According to @TorahJudaism  Israeli police cracked down on peaceful anti-Zionist Jews in occupied #Jerusalem and attacked those  who hang Palestinian flags on their homes.  Last week  Israel s police broke into a synagogue in the same neighborhood and arrested two men after?',11/19/2023,34,784,900,4400,Palestine,Palestine
'According to IDF spotters  a dangerous cocktail of arrogance and chauvinism (an overwhelming majority of the spotters are women) prevented senior officers from listening to their warnings prior to Hamas  October 7 attacks | Haaretz Editorial',11/20/2023,43,163,233,4000,Israel,Israel
'According to the Electronic Intifada  Israeli national broadcaster Kann News published this video  then deleted it  of #Israeli children singing  We will annihilate everyone  in #Gaza.',11/19/2023,135,1100,100,8200,Palestine,Palestine
'According to the Euro-Med Human Rights Monitor  approximately 2.46\% of the population in #Gaza were killed or injured  which is the equivalent of 8 million Americans  3.2 of whom are children  out of the entire population of the #US. #InternationalChildrensDay',11/20/2023,42,1700,1500,4300,Palestine,Palestine
'According to the UN  1.5 million Gazans have been displaced in the last five weeks. Most of these people stay in refugee camps  when the lack of clean water  food and other essentials makes life difficult. Gaza-based journalist reports from a Khan Yunis refugee shelter.',11/18/2023,11,48,87,1100,RT_com,?
'Activists occupy the Thales Australia office in Melbourne to call for an end to Australian complicity in Israel s genocide in Gaza.',11/20/2023,12,296,493,1500,Palestine,Palestine
'Actor Melissa Barrera is no longer appearing in the upcoming horror franchise film Scream VII after the actor shared pro-Palestinian statements on social media that some believed crossed a line into antisemitic territory.',11/22/2023,16,10,70,3100,Israel,Israel
'Actress Susan Sarandon was dropped by United Talent Agency in the wake of comments at a pro-Palestinian rally which were widely seen as antisemitic amidst a surge in anti-Jewish incidents across the United States',11/22/2023,76,43,106,1700,Israel,Israel
'Acts of vandalism are shaking Jewish communities in the US amid increasingly tense rhetoric and protests surrounding the war between Israel and Hamas as the head of the FBI warns antisemitism in the country is reaching  historic levels.  https://trib.al/lt3rTUi',11/1/2023,793,191,424,42400,CNN,?
'Added into the mix of different forms of hatreds in the U.K. is a looming post-colonial guilt in which the problem of Palestine is not the fault of the British who left the land divided  but of the Jews for needing the refuge of a homeland | Opinion',11/21/2023,25,8,24,1000,Israel,Israel
'African Union President: There is no excuse for Israel to bomb the #Gaza Strip. #Israel',11/20/2023,17,189,355,1500,Palestine,Palestine
'After 42 days of genocide  the NY Times justifies #Israel s killing of children in #Gaza claiming that the bombardment is in response to  Hamas attack .',11/19/2023,71,636,838,4200,Palestine,Palestine
'After an advertiser exodus  X owner Elon Musk is suing Media Matters over its analysis highlighting antisemitic and pro-Nazi content on the platform. https://cnn.com/2023/11/20/tech/x-sues-media-matters/index.html?Date=20231121&Profile=CNN&utm_content=1700528414&utm_medium=social&utm_source=twitter?',11/21/2023,447,607,634,28100,CNN,?
'After chaotic delay  PM meets with families of hostages amid reports of imminent deal https://timesofisrael.com/pm-meets-with-families-of-hostages-held-in-gaza-as-reports-swirl-of-imminent-deal/? via @timesofisrael',11/21/2023,1,5,18,500,Israel,Israel
'After IDF soldier Staff Sergeant Yehonatan Yitzhak Semo fell in battle in the Gaza Strip last week  his selfless act of organ donation has given the gift of life to six fellow Israelis. Learn more: http://bit.ly/3SOaN2d',11/19/2023,38,102,492,1400,Israel,Israel
'After meeting Israeli  Palestinian families  pope calls for peace  end to ?terrorism? https://timesofisrael.com/liveblog_entry/after-meeting-israeli-palestinian-families-pope-calls-for-peace-end-to-terrorism/? via @timesofisrael',11/22/2023,10,8,13,5100,Israel,Israel
'After meeting war cabinet  some families of hostages say gov?t sending mixed messages https://timesofisrael.com/liveblog-november-21-2023/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/21/2023,13,8,19,7500,Israel,Israel
'After okaying hostage deal  government vows to ?continue the war? against Hamas https://timesofisrael.com/liveblog-november-22-2023/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/22/2023,9,11,47,8300,Israel,Israel
'After okaying hostage deal  government vows to ?continue the war? against Hamas https://timesofisrael.com/liveblog-november-22-2023/? via @timesofisrael',11/22/2023,13,6,45,7100,Israel,Israel
'After uproar  NY state senator fires staffer who endorsed Oct. 7 Hamas onslaught https://timesofisrael.com/after-uproar-ny-state-senator-fires-staffer-who-endorsed-oct-7-hamas-onslaught/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/22/2023,10,25,91,9500,Israel,Israel
'Agency drops Susan Sarandon for saying Jews ?getting taste? of what Muslims go through https://timesofisrael.com/agency-drops-susan-sarandon-for-saying-jews-getting-taste-of-what-muslims-go-through/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/22/2023,76,73,318,1800,Israel,Israel
'Agreement reached on a three-day truce in Gaza ? Al Arabiya TV channelIsrael also approved the transfer of  a limited amount of fuel under UN control  to the enclave.',11/17/2023,3,19,41,1100,RT_com,?
'Ahal Besorai s sister was murdered and his nephew and niece were taken hostage on October 7 by Hamas. He talks to @KayBurley about being  afriad of being hopeful  following the hostage deal. https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/22/2023,7,4,13,2000,SkyNews,?
'Ahead of hostage release  PM says Mossad has orders to target Hamas chiefs everywhere https://timesofisrael.com/ahead-of-hostage-release-pm-says-mossad-has-orders-to-target-hamas-chiefs-everywhere/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/23/2023,16,44,125,9200,Israel,Israel
'Ahead of slated truce  IDF says it?s destroyed 400 Hamas tunnels  continues to fight https://timesofisrael.com/ahead-of-slated-truce-idf-says-its-destroyed-400-hamas-tunnels-continues-to-fight/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/22/2023,19,34,127,7700,Israel,Israel
'Ahead of the impending release of Israeli mothers and children  some bumps on the road still remain  and it?s safe to assume that Hamas will still test Israel?s nerves / Amos Harel',11/22/2023,2,6,18,7400,Israel,Israel
'Ahmad Shabat  a 3-year-old Palestinian child  survived three separate Israeli attacks. Ahmad lost his parents and four siblings in the first attack on October 7. LIVE updates: http://aje.io/we9eau',11/17/2023,21,163,220,3100,Palestine,Palestine
'Ai Weiwei s London exhibition called off over Israel social media post',11/15/2023,273,575,657,1400000,BBCWorld,?
'Aid agencies are calling for a ceasefire in?˜Gaza?˜as?˜doctors warn?˜an Israeli blockade on fuel means many more vulnerable babies and wounded people in hospitals will soon die. https://cnn.it/3tGL7Kx',10/24/2023,793,329,620,36300,CNN,?
'Aid delivery waits to enter Gaza from Egypt at Rafah crossing',10/19/2023,454,163,497,30100,BBCWorld,?
'Airlines cancel or delay flights to Israel as fighting continues',10/9/2023,42,61,208,21000,BBCWorld,?
'AJ+ followed Hidaya while she was in labor in Gaza  where 50 000 pregnant women are under constant bombardment. Many of them are giving birth in the streets or in overcrowded shelters. This is Hidaya s story.',11/20/2023,10,433,469,3000,Palestine,Palestine
'Al Jazeera correspondent reports that the number of martyred journalists since the start of the Israeli war on the #Gaza Strip has risen to 60.#Israel',11/19/2023,39,1500,1400,6500,Palestine,Palestine
'Al Jazeera reporter Wael Al-Dahdouh s family killed in Israeli air strike on Gaza',10/26/2023,693,686,1900,60500,BBCWorld,?
'Al Jazeera talks to the president of the Committee to Protect Journalists  Jodie Ginsberg  on Israel s alleged deliberate attacks on journalists in Gaza and Lebanon',11/21/2023,67,358,546,4800,Palestine,Palestine
'Al Jazeera s @YoumnaElSayed17 reports on the latest Israeli strikes across the besieged Gaza Strip. LIVE updates: http://aje.io/g3dt',11/17/2023,94,632,945,8600,Palestine,Palestine
'Al Jazeera s Anas al-Sharif has described the scenes inside the Indonesian Hospital in the besieged Gaza Strip as  chaotic  with Israeli forces surrounding the medical complex. LIVE updates: http://aje.io/3gjs9',11/20/2023,28,128,172,3800,Palestine,Palestine
'Al Jazeera s Hani Mahmoud reports renewed Israeli air attacks across southern  central  and northern areas of Gaza. LIVE updates: http://aje.io/r7rawx',11/22/2023,9,76,86,2800,Palestine,Palestine
'Al Jazeera s Tareq Abu Azzoum reports on the latest Israeli attacks in the besieged Gaza Strip',11/21/2023,78,672,867,4600,Palestine,Palestine
'Al Jazeera s Tareq Abu Azzoum reports on the latest Israeli strike targeting the Indonesian Hospital in the besieged Gaza Strip.',11/20/2023,100,1300,1400,8100,Palestine,Palestine
'Al Jazeera s Tareq Abu Azzoum reports on the Palestinian premature babies evacuated from al-Shifa Hospital in Gaza City to the south of the besieged enclave.',11/19/2023,99,606,939,10900,Palestine,Palestine
'Alaa Shammout  a paramedic  has suffered injuries in an Israeli shelling which targeted his ambulance while trying to save lives in Khan Yunis  south of the #Gaza Strip.',11/20/2023,15,685,753,2100,Palestine,Palestine
'Alex Danzig: Fears grow for much-loved historian kidnapped by Hamas',10/18/2023,234,82,201,22600,BBCWorld,?
