@relation 'hashtags trimmed both-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R2-4'

@attribute Tweet_Content string
@attribute Targe_Pro {Israel,Palestine}

@data
'WOW - Hamas supporters take over the streets of the State Capital of TexasDo you think these hateful people should be deported for actively supporting terrorism? #HamasISIS #Hamas #Palestine #terrorist',Israel
'For several years you degraded the #MAGA & #conservative people in the #US.Did you know that none of us are out there protesting in the #US & around the world with the #HamasTerrorists wanting to see #FromTheRiverToTheSea of the Jewish people?Do you still have that hatred?',Israel
'IDF continue the fight in #Gaza. So far, forces exposed & destroyed 400 tunnel shafts. Yahalam forces play a significant role in exposing tunnel shafts & destroying them by a variety of means. #victory #HamasTerrorists #October7massacre #Israel #MeToo_UNless_UR_a_Jew #gazawar2023',Israel
'Do you also support staff members who are filled with hatred and wish to see the nazis end goal complete?#StandWithIsrael',Israel
'My take on the silence  of International  media  after #Israel released recordings  shows the #HamasISIS tunnel beneath #AlShifaHospital  & at least  #Israeli  hostages were brought in it previously.Short answer  JEW  HATE.#Antisemetism #HamasisISIS #Jewhate',Israel
'IDF lookouts were threatened with being court martialed after they sounded the alarm about increased Hamas military activity in the months leading up to the October 7 attacks, N12 reports.#IDF | #HamasISIS | #October7massacre',Israel
'Palestinian childrens lives end before they begin... the story of the victory of the army armed with steel and gunpowder over the noisy hospital with screaming and moaning. #IsraelTerrorism #FreePalestineFromIsrael #Isreal #HamasisISIS #GazaGenocide #Gaza_War #HamasTerrorists',Israel
'During the Paratroopers Brigades activity in Sheikh Ajleen area, #Gaza, the 202nd Battalion battled #Hamasterrorists who opened fire on them. Staff Sergeant Jonathan Yitzhak Samo & 2 other soldiers were injured. The IDF used tank fire along & an airstrike. #Gaza_war #Israel 1/',Israel
'The body of the kidnapped Tanzanian  student Clemence Felix Mtenga was found, this student  came to #Israel  to participate in the Agricultural Internship Program, just to end up murdered in cold blood by the hands of #HamasISIS terrorists , may his memory be a blessing.',Israel
'Standing with whats right such a simple thing to do and never been taken for granted. #standwithisrael #jewishlivesmatter #standwiththetruth',Israel
'Despicable Hamas-Rapists Top Official Ahmad Bahr used to pray - Oh, Allah, kill all Jews & all AmericansYesterday IDF soldiers sent him to Jihadi-Hell, now he can pray together with his 72 virgins',Israel
'RPG & small arms were fired at IDF troops from the al-Quds Hospital entrance in #Gaza City by a terrorist squad among a group of civilians. In the battle, 21 #Hamasterrorists killed. #Hamas ongoing usage of civilian sites like hospitals, to fire at the IDF #StandWithIsrael',Israel
'Air, sea & ground forces, the Magellan unit destroyed 70+ targets, including enemy observations, #Hamas infrastructure, most of which were in #Gaza civilian areas, anti-tank launchers & anti-tank squads. Forces also eliminated many #Hamasterrorists. #IsraelPalestineWar #GazaWar',Israel
'Share#hamas #IsraelPalestineConflict #IsraelFightsTerror #Israel #Hamas_is_ISIS #HamasISIS #HamasTerrorists #Israel_under_attack #IsraelAtWar #StandWithIsrael #TheWestIsNext #antisemite  #Oct7Massacre',Israel
'So, how exactly does kidnapping girls with the aim of raping them contribute to the release of #Palestine?  We will crush #Gaza.We will win the war, God with us. #FreePalestineFromIsrael is bullshit#HamasisISIS #HamasTerrorists #HamasISIS #IsraelPalestineConflict',Israel
'Newly-elected president of Argentina Javier Milei waving Israels flag! #StandWithIsrael',Israel
'Thank you @RepKeithSelf for this powerful tribute and your strong support of our ally Israel!#StandWithIsrael',Israel
'#HamasISIS using children as human shields.These rockets ARE targets. So is anyone in the vicinity.Typical @UN @UNRWA @UNICEF hypocrisy',Israel
'Lets be mutual.Drop your  handle  retweet  comment  like Saudi Arabia. Supreme Court Governor. Zainab. Stamford bridge. Deport. So MTN. Congratulations Pere. Palmer. Hamasisis. Manchester city. Chelsea. Emirates. CHEMCI',Israel
'A demonstration of support for Israel in the streets of Miami #usa #StandWithIsrael #MiamiFL',Israel
'Right thats me for tonight Goodnight Comrades Ill leave you with another reunion video from the IDF returning home to see their familys #StandWithIsrael',Israel
'Israel blew up the Parliament building in Gaza, which Hamas used as a symbol of power in the region. #Israel #Gaza #Hamas #terrorists #GazaTerrorists #HamasTerrorists #October7massacre',Israel
'#HamasTerrorists dont care about the citizens of Gaza; they hide in hospitals, deliberately endangering innocent civilians. Listen to this Gaza man who is complaining about #HamasISIS using people as human shields.',Israel
'Once again peacefully calling Hamas to release the 240 hostages from around the world #Peace #BringThemHome #StandWithIsrael',Israel
'Pro Palestine / Hamas group waving the ISIS flag. Hamas=ISIS. Is there any doubt?Wake up America! They are on our soil. #Hamas_is_ISIS #HamasTerrorists #Gaza_Genocide #Israel #Palestine',Israel
'When you turn a blind eye selectively to crimes as per your political and ideological affiliations, you deserve not to be listened to! Your bias is a crime!#RapeIsNotResistance #HamasTerrorists #Hamas_is_ISIS #NovaMusicFestival #Israel #IStandWithIsreal',Israel
'How would you respond if Hamas took your children?#BringThemHome #StandWithIsrael',Israel
'US: A seminar for doctors engineers and IT professionals#IsraelIsATerrorist #AlShifaHospital #HamasISIS',Israel
'Hes returned! Along with his donkey he became a tour guide.#Hamas_is_ISIS #MrFAFO #Hamas#IStandWithIsrael #StandWithIsrael #HamasTerrorist #HamasISIS #PallywoodLies',Israel
'Coward @JustinTrudeau Hamas-Rapists-proxy @antonioguterres - Look in the EYES OF EVILNO CEASE FIRE FOR RAPISTS & BABY KIDNAPPERS!',Israel
'Pro #Israel march in #Japan.Japanese people chant songs in Hebrew and hold posters of kidnapped #Israelis.#BringThemHome #HamasISIS #Gaza',Israel
'@COLRICHARDKEMP in a conversation with Douglas Altabef, chairman of the board of Im Tirtzu movement, with a message to Jews in the USA and Eurpoe. #standwithisrael',Israel
'The IDF uncovered the route of a terrorist tunnel about 55 meters long and about 10 meters deep under the Shifa Hospital.Where is the @UN to condemn this war crime?#Hamas_is_ISIS #StandWithIsrael',Israel
'Horrific - #Iran regime and #IRGCterrorists disperse dead bodies of children on a street in Tehran, as a symbol of dead children of #Gaza. Someone should remind them that they are to blame for every dead person in both sides. #HamasTerrorists',Israel
'Were praying for you and your family. #standwithisrael #standwiththetruth #stopantisemitism #jewishlivesmatter #IsraelWillPrevail',Israel
'To all the so called #feminists and #RadicalLeftists out there THIS IS OK? #HamasISIS',Israel
'#IDF: Since the onset of the #Gazawar, #Israeli troops & the 162nd Division have destroyed #Hamas centers of capabilities built up over the years & have killed 1,000+#Hamasterrorists; reducing 80\% of rocket fire at #Israel fm north #Gaza strip. #IsraelFightsTerror #Israel',Israel
'Even by the usual biased standards of @BBCNews, Jeremy Bowen stands out. Were not sure where hes been going in the Middle East, but Kalashnikov rifles are not an everyday sight, and certainly not in a hospital except when it is run by #HamasTerrorists.',Israel
'#BREAKING_NEWS: A recent video has been released of the two Palestinian journalists who were murdered by Israeli soldiers. #HamasTerrorists #IsraelPalestineWar',Israel
'Where is your call for the immediate release of the Israeli children that are held hostage by #HamasTerrorists did I miss that tweet?!?!?',Israel
'Sources say that the #PalestinianTerrorists entered #Jerusalem  via a tunnel from the #WestBank Just look at how well equipped they were, definitely out to cause a major attack  #StandWithIsrael                      #SupportTheIDF                 Video Source -@i24NEWS_EN',Israel
'The city of Tel Aviv stands united and thanks those who have helped our people in these dark times! Artists have taken to the streets to express their own gratitude for those who stand strong with us!@grafitiyul (IG)#gaza #telaviv #israel #standwithisrael #bringthemhomenow',Israel
'We continue to see a disturbing rise in hate and antisemitism around the world.We need to stand together against antisemitism and against terror.#StandwithIsrael #HamasisISIS',Israel
'Cameroun invaders are francophone Jihadists. They come to kill + burn Innocent anglophones. Just like #HamasISIS',Israel
'Mosques in #Gaza are Hamas headquarters and used as godown for arms and ammunitions by #HamasTerrorists',Israel
'Hey Jew haters...rip this down. Am Yisrael Chai! #BringThemHome #IsraelFightsBack #StandWithIsrael',Israel
'How disgustingly blithe you are about #HamasISIS war crimes. Some intersectional feminist you are. Unless its Jewish women kidnapped and raped.Shame on you.',Israel
'Young Israeli Boy Sings the Shema to IDF. #StandWithIsrael #PrayforIsrael #IDF #IsraelPalestineConflict #Hebrew #Hamas_is_ISIS',Israel
'This is open support for terrorism on Canadian soil.This student must be expelled and face criminal charges.#StandwithIsrael #HamasisISIS #FreetheHostages',Israel
'The atrocities committed by Hamas must never be repeated.Thats why the world must #StandwithIsrael and their right to defend themselves. Hamas must be destroyed. #HamasisISIS',Israel
'A soldier comes home to surprise his younger brother at his Bar Mitzvah this is what  the nation of Israel consists of real heros who are willing to put their life on the line for their people and their famil#StandWithIsrael #Israel #IsraelFightsTerror #IsraelFightsForHumanity',Israel
'My friend. I think the loss of civilian lives lies on #HamasISIS for using Gazans as Human shields.16 years of Hamas rule brought too many rounds of violence and similar calls on both ends.Its time to remove Hamas from the equation and build a Singapore, Dubai instead.',Israel
'#Hamas Which countries recognise Hamas as a Terrorist Organisation? :Details#hamasattack #HamasTerrorists #EuropeanUnion #USA #Australia #Canada #Japan #unitedkingdom #Paraguay #IsraelHamasWar#Israel #Lashkar#India #UAPA #terrorism #terrorists #security Source:IE',Israel
'No coment needed But there are still blinded people who should listen to this Mother...#BringThemBackHomeNow #StandWithIsrael #IDF #Israel #AmYisraelChai',Israel
'Hamas Palestinian terrorists continue to use the population of Gaza as Human Shields and encourage civilian casualties for its propaganda war. Inflated casualty counts benefit the terrorists #HamasISIS #PalestinianTerrorism #IsraelUnderAttack #HamasMassacre',Israel
'Every Gazan death and casualty is on #HamasTerrorists  not Israel. SWC hopes you are able to interview Jews and non-Jews alive well and free.',Israel
'There must never be a cease fire while there are hamas/isis terrorist walking the streetsThey need to be gone.#StandWithIsrael',Israel
'I fear for the lives of all of the hostages.There are so many children among those kidnapped by the terrorists.#HamasisISIS #HamasTerrorists',Israel
'Its very worrying that the left antisemitic tossers,you know the ones, are now disputing what happened on October 7th, insinuating that its the Israelis fault and they killed their own people .Have these people no shame.#StandWithIsrael',Israel
'This is the back the way way back of the rally. #StandWithIsrael#AmYisraelChai#GdBlessAmerica#FreeTheHostages#BringThemHome#NoCeasefire',Israel
'This is the former mayor of Johannesburg.Let that sink in...#hamasisISIS #Hamasterrorists #jewishlivesmatter #standwiththetruth #standwithisrael',Israel
'Finally you admit #HamasTerrorists hide in hospitals. But still you defend them.Neverending hypocrisy.Defund @UN @UNRWA @WHO',Israel
'#IsraelIsATerrorist  #HamasTerrorists#Hezbollah #Houthis #war Theres a video in social media sayin its the moment Yemeni legends took control of the israeli ship...',Israel
'Civilians in #Gaza shouldnt suffer the consequences of Hamass inhumanity and brutality.#StandUp4HumanRightsDO NOT Support #Terror#FreeGaza From Hamas#Hamas #TerrorismWho kidnaps kids?#BringThemHome#ChildAbduction#TheWestlsNext#HamasisISIS#NotATarget#HamasISIS#ActNow',Israel
'Hey @michelleobama, I made a new sign for you. We are waiting for you to do it for real. Do for the #Israelihostages what you did for the Nigerian schoolgirls! #whereareyoumichelle #israel #gaza #HamasISIS #michelleobama #bringbackisraelihostages',Israel
'I already made a whole Before and After thread of Shuhadaa St. Gaza City from October 10. Here is another part of Shuhadaa St. today!#HamasisISIS #HamasISIS #October7massacre',Israel
'#IDF fighter jets destroyed #Hamasterrorists infrastructures of the #Hamasterrorist org in Jabaliya, Zeitoun & Beit Lahia. #Gaza #IAF #Israel #IsraelPalestineWar #October7massacre #Hamas #Palestine #FromTheRiverToTheSea Gaza will be free of Hamas',Israel
'#TheBBC is indeed the beacon of truth during this confusing time.#StandWithIsrael #Shifa #TheIDF',Israel
'Were glad Joe Rogan remembers history enough to ask the right questions. #stopantisemitism #jewishlivesmatter #standwithisrael',Israel
'Thank you @geertwilderspvv  for always standing with Israel.  You are a true friend. #standwiththetruth #standwithisrael #stopantisemitism #freeisraelfromterror',Israel
'It sounds so relevant for today but its actuallyA speech @DennisPrager gave a few years ago. Always relevant.#standwithisrael #standwiththetruth #thewestisnext #freetheworldfromhamas #freegazafromhamas #freeisraelfromterror #jewishlivesmatter',Israel
'Isnt it interesting?They broke TV because it was invented by the West. But at the same time they are also filming with a camera!#StandWithIsrael #Hamas_is_ISIS',Israel
'What blockade?2005 Israel gave Gaza to GazansGaza declares war on Israel & starts firing missiles into IsraelIsrael still sends water, electricity & medical care but inspects cargo to limit the weapons of the people who were trying to kill themEgypt does the same #HamasISIS',Israel
'BBC Interview with Yahya Sinwar Gazas strip   leader of terrorist organization Hamas  . A brilliant piece of satire by Eretz Nehederet#Shifa_Hospital #Gaza #HamasisISIS #HamasMassacre #October7massacre #October7 #HamasTerrorists #Israel #Hamas #Hamas_is_ISIS #bbc #bbcnews',Israel
'#Israel  found  in #AlShifaHospital  instead of , this is what #HamasTerrorist have stored in .#IDF delivered aid to the  after liberating it, unlike #HamasISIS terrorists who are stealing from #Gaza civilians.I hope that we are close to #BringThemBack safe.',Israel
'Sad but thats Syria. How much does #HamasTerrorists pay you for this propoganda?',Israel
'Conditioning aid to our strongest Middle East ally in their time of need is wrong.We must #StandWithIsrael.',Israel
'2/ Location of the shaft in the hospital complex#HamasisISIS#October7massacre #FreeGazaFromHamas#StandWithIsrael',Israel
'So who is mustering and subbing all these Pakistanis here in the UK to shout for #HamasTerrorists and supposedly palestine ( Gaza ) ... the flags and signs etc must have cost a lot of money ..... when the people in Gaza/Palestine are ARABS not pakistanis ??',Israel
'Last phone calls: 9/11  v. 7/10 Terror is terror.And it must be stopped.#HamasISIS #HamasTerrorist #freega',Israel
'Ill be so filled with sheer satisfaction the day Hamas is finally dismantled & destroyed. Will be such a bitter day for Mehdi and all the Muslim Brotherhood Al Jazeera hacks. I almost cannot wait.  #StandWithIsrael',Israel
'Calling @metpoliceuk I was under the understanding that support of a proscribed terror group is illegal within the Uk? #HamasISIS #antisemite #israelophobia',Israel
'Its not even a ceasefire because its just a pause until they surprise you with another attack next month. So in what sense is that a ceasefire? Its merely allowing Hamas to regroup & prepare for the next attack. It would be a regrouping fire for Hamas #HamasISIS #NoCeasefire',Israel
'But I was reliably informed that no #HamasTerrorists were anywhere near Al Shifa Hospital',Israel
'Can you tell the difference? 1 is a picture of a container full of garbage & filth that stinks & the other a picture of a Recycling bin #HamasISIS #PalestinianTerrorism #IsraelUnderAttack #HamasMassacre',Israel
'Under a hospital in Gaza Hamas kept and hid kidnapped Israeli babies!!!Look at the babys bottle and diapers, you cant imagine what they did to them...Hamas = ISIS#HamasisISIS#HamasTerrorist #HamasISIS #Hamas #Gaza #Israel #HamasMassacre #HamasTerrorism  #HamasWarCrimes',Israel
'The amazing Melanie Phillips who was always a true friend of Israel #standwiththetruth #standwithisrael',Israel
'When I lived in Israel they made a hostage exchange to recover a single Israeli soldier.  They gave 1000 Palestinian fighters for him. After the fighters were secured they handed back Israels soldier in a paper bag. Dead. Thats who the enemy is. #HamasTerrorists',Israel
'Good morning Israel May God bless IDF soldiers and bring the hostages back today! @dannyjdeutsch Love listening to you! Keep going. #standwithisrael',Israel
'None of you really surprised us but were still taking notes.#youareonthewrongside #stoplying #standwiththetruth #hamasisISIS #Hamasterrorists #freetheworldfromhamas #jewishlivesmatter #jewish #standwithisrael',Israel
'Well done Israel...Very nice IDF....This is a major boost to the morale of the Israel Defense Forces..Since this hospital was completely under the control of Hamas terrorists.#IsraelFightsBack #IsraelFightsTerror #HamasTerrorist #HamasISIS',Israel
'In Israel as in Texas. My prayers are with the IDF and every Israeli citizen as they defend themselves from the Hamas terrorists, Iran, and the dark cloud of antisemitism.#StandWithIsrael',Israel
'Wednesday morning November 22, 46 days since 239 babies, children, people, have been kidnapped & still held hostage by #Hamas terror organization #Gaza . Mia & Itay are sister & brother. They should be home together, not held hostage. #HamasISIS #BringThemHomeNow',Israel
'Only a dishonest cold-blooded Jew-hater would suggest some moral equivalence between Hamas and Israel.#nomoralequivalence #Hamastargetscivilians #HamasISIS #Hamasisevil',Israel
'The reason to support Israel  w/ @RealCandaceO @CandaceOwensPod #CandaceOwens #Israel #IsraelFightsBack #Israel_under_attack #IsraelFightsTerror #IsraelAtWar #StandWithIsrael #antisemitism @realDailyWire',Israel
'You want to be #proPalestine ?Okay HERE IS SOME EDUCATION FOR YOU FROM THE SON OF #HAMAS FOUNDER.#StandWithIsrael',Israel
'An uncaring world with two sets of rules when it comes to #Israel. #ChildrensDay and not one word about 40 Israeli children kidnapped and held for 6 weeks by #HamasTerrorists',Israel
'Wednesday morning November 15. 40 days since 239 babies, children, people have been kidnapped & still held hostage by #Hamas terror organization #Gaza . Eithan is 12, he loves his family & especially doing things with his dad. They are both held hostage. #HamasISIS #BringThemHome',Israel
'You are so right @benshapiroThese are biblical times. #israel #jews #jewishlivesmatter #standwithisrael #redemption #geula',Israel
'Israels NOVA party by people who wanted to celebrate peace.And now the IDF is crushing Hamas Hamas-ISIS terrorists bones! Karma is a bitch.#palestinianTerrorists #HamasTerrorist #palestinianNazi #Hamas_is_ISIS #palestinianHamas #StandWithIsrael',Israel
'Veja um registro de onde sao lancados misseis de Gaza em ataques a #Israel. Simplesmente de areas residencias, escolas ... Hamas e Terrorismo que usa a populacao de Gaza. #StandWithISrael #Israel #HamasTerrorists',Israel
'#IDF forces discover air-conditioned living quarters where hostages were possibly kept under  #Shifa_Hospital #Gaza #GazaConcentrationCamp #Israel #HamasTerrorists #October7massacre American Jews #MeToo_UNless_UR_a_Jew',Israel
'Happy to say that I still #StandWithIsrael hope one day you will too',Israel
'Two IDF fighters father and son meet on the battlefield in #Gaza.#IsraelFightsBack #IsraelFightsTerror #HamasISIS #HamasNazis',Israel
'More people hiding from #HamasTerrorists at the #Nova dance party .. #BringThemHomeNow #Israel #Gaza #HamasislSIS #IStandWithIsrael',Israel
'They all knew in Gaza  , They all know - now the rest of the world must wake up. One of the kidnapped is being rushed into al Shifa hospital - #BringThemBackHomeNow #HamasisISIS #StandWithIsrael',Israel
'There is no middle ground in this conflict. The Jewish state will triumph over Hamas because God is on their side. No nation in history that has persecuted the Jewish people has survived.  #IsraelLives #StandWithIsrael #MarchForIsrael',Israel
'.@coachbrucepearl did an incredible job talking Israel, delivering scripture, challenging the congregation to #StandWithIsrael, #standwithGod, and praying over innocent bloodshed on both sides. Well done.  @WarEaglePastor #JesusWins',Israel
'Its almost 2024 its devastating we need to use this hashtag #rapeisnotresistance#HamasISIS',Israel
'CUTTING EVIDANCES that the #HamasTerrorists used Al-shifa Hospital at the day on #October7massacre . Here, you can see both images and videos of the kidnapped people from Israel brought to the hospital and guarded by the deadly terrorists while the medical team knew all about it!',Israel
'The entire family was erased#hamasisISIS #Hamasterrorists #hamasmassacre #jewishlivesmatter #standwithisrael #israelunderattack #october7th',Israel
'PEACEFUL PROTEST: Guys this is what one looks like. #StandWithIsrael #Israel #BringThemHome',Israel
'No Ceasefire. The end of Hamastan in Gaza is here. #HamasISIS #PalestinianTerrorism #IsraelUnderAttack #HamasMassacre #NoCeasefire',Israel
'Hamas kidnapping a 12 year old boy,  after murdering his family in front of the poor child. The Palestinian people elected Hamas,  and cheered the massacre, Anyone marching for Palestine is marching for Hamas,and is complicit. #StandWithIsrael #Trump2024',Israel
'THAT is the way to deal with anti-British sentiments in Britain!Send them out of the country for our safety & security. #Israel #Palestine #HamasTerrorists',Israel
'In a hospital, you say? In a Gaza Strip HamasISIS hospital  hostages were held and tortured. Weapons stored. How can the @WHO and @MSF and @UNRWA and @ICRC be silent?',Israel
'Footage from #ShifaHospital in Gaza shows Hamas terrorists bringing a Nepali and Thai citizen who were abducted from Israel on Oct. 7, one of whom was clearly not there for treatment. #HamasISIS uses hospitals systematically for its terrorist activities.#NotATarget',Israel
'This is Sahar Shehadeh a student @durhamcollege who needs to be #deported now #HamasISIS DurhamCollege',Israel
'The United States cannot abandon our greatest ally in the Middle East as they defend themselves from terrorists. #StandWithIsrael',Israel
'HAMAS WAR CRIME SENSITIVE CONTENT Israeli Civilians dragged and killed on the spot - Footage from October 7New footage of an attack by Hamas terrorists on Israeli settlements on the morning of October 7#StandWithIsrael #Hamas_is_ISIS',Israel
'OBAMA AND BUSH Still Delusional After All These Years [AUDIO]Hamas is a militant group Hamas are terrorists #HamasTerrorists #HamasNazis',Israel
'I think this is correct .. no? #Palestinian_terrorists #HamasTerrorists #BringThemBackHomeNow #antisemitism',Israel
'The largest gathering of Jewish people in the U.S. sings In every generation they rise up to destroy us. But the Holy One, Blessed be He, delivers us from their hands.#StandWithIsrael',Israel
'Hostage-taking & killing innocent people are common behaviors among terrorists. #HamasTerrorists took innocent Israelis hostage, while the Islamic Republic took #MiladZohrehVand hostage with plans of imminent execution. Stand united against terrorists & be the voice of innocents.',Israel
'Time for some GOOD NEWS from Gaza-ISIS:Brave IDF soldiers pulled two more Hamas-Rapists commanders out of terror tunnels & sent them to their 72 virgins in Rapists-HellYaakub Ashur - head of Khan-Yunis BrigadeMuhammad Dababshe - head of Rapists Military Intelligence',Israel
'I love you all and stand with you #AmYisraelChai #StandWithIsrael',Israel
'Traditional #Glasgow weather for another day of peace advocacy.#StandWithIsrael   #AmYisraelChai #HamasisISIS   #Gaza  #Israel',Israel
'Islam isnt a peaceful religion in the eyes of Muhammad, he filtered his hate down to his people, his legacy is poisoning the world#IslamIsTheProblem #IslamicTakeOver#DoubleStandards  #Criminals #RadicalMuslims #English #HamasTerrorists #Israel #London',Israel
'#HamasISIS #Hamas_is_ISIS #hamasattack Another video from Oct 07th Poor girls',Israel
'A beautiful and sad mural highlighting that so many kids , adults, grandparents  are still being held hostage by #Hamasterrorists in #GazaEach person a life, family member, loved oneWe must speak up  for them as they cannot  speak fro themselves #BringThemHome',Israel
'A 200 meter long tunnel under the Shifa Hospital revealed by the IDF. Source: IDF spokesman#HamasTerrorists #HamasisISIS',Israel
'If you really want to help issue a call to STOP KILLING JEWS and RELEASE THE HOSTAGES. Then Israel will not be forced to defend herself #HamasISIS #PalestinianTerrorism #IsraelUnderAttack #HamasMassacre',Israel
'Heres a snippet from France 24 correspondent Irris Maklers interview with a doctor who worked at the Al-Shifa hospital 3 years ago.It was a hospital above ground and a Hamas command and control center below ground.#HamasTerrorists',Israel
'Look no vile chanting. This is how people should protest.#StandWithIsrael',Israel
'For everyone who has accused Israel of Apartheid THIS video  is for you to Educate yourself.#HamasISIS',Israel
'The children of Israel have seen things they cannot unsee.  #Israel #Gaza #Hamas #terrorists #GazaTerrorists #HamasTerrorists #October7massacre',Israel
'The Crown Prince of Bahrain condemns Hamas. Unequivocally. #IStandWithIsrael #Hamas_is_ISIS #HamasTerrorists',Israel
'His brother couldnt stop crying when this #IDF soldier came home from the war #brotherlove #IsraelPalestineWar #Israeli #soldiers #jewishlivesmatter #Gaza #StandWithIsrael #October7massacre #israelilivesmatter #family',Israel
'The new president of #Argentina is raising #Israel flag. #ArgentinaVota #Hamas #ArgentinaDecide #StandWithIsrael#Hamas_is_ISIS #HamasTerrorist',Israel
'This is how Hamasisis treated Shani Louk and many other Israeli women. Where are you bloody feminists?',Israel
'Muslims demonstrate against Israel & in favor of #Hamas  #ISISWhat exactly are you protesting about? Why did you flee from your Islamic countries?#HamasTerrorists#Isral_Genocide @PMOIndia @HMOIndia @BJP4India @myogiadityanath @ShefVaidya @SandeepfromBJP @Neiru1',Israel
'Colorado State House Representative @_timhernandez took down the American flag and replaced it the Palestinian one. Hernandez also became infamous for his support of the terrorists Hamass genocide on Israel. #copolitics #StandWithIsrael',Israel
'500 mosques around London, but they still will go out to pray in the streets... These are the #Islamists. Whatever you give them is not enough, and the more you give them, the weaker you are in their eyes.#Islamists #London #UK #Europe #StandWithIsrael #TheWestlsNext',Israel
'British reporter describes what he saw in the 47-minute video  then from #Hamas body cams on 7th October.  #HamasNazis #HamasTerrorists #HamasMassacre',Israel
'Offering Tribute to Bravehearts #AmarJawan of Great Bharat & fallen Sisters & Brothers of Great @Israel On #Deepawali2023 my daughter praying for victory & safe return of 240 Israeli ctzns held by #HamasTerrorists@IsraeliPM @NaorGilon @KobbiShoshani @danielocarmon @adgpi',Israel
'Look at this: Hamas terrorists trying to ambush IDF soldiers are caught exiting a terror tunnel. Amazing job by the #IDF#StandWithIsrael #HamasISIS #Israel #HamasTerrorists',Israel
'You pathetic, sniveling, little man.The problem in this country is the 1) number of HamasISIS supporting sympathizers that want all Jews dead2) pathetic anti-semite Liberal MPs, like you, that should be nowhere near power.',Israel
'The camera in Al-Shifa shows how Hamas terrorists were hiding hostages on the hospital grounds. Any reports from @BBC yet?#StandWithIsrael#HamasisISIS#BringThemHome',Israel
'Another bunch of Rapists pulled out from terror-tunnels by brave IDF soldiersThats how they look like when they face soldiers instead of young girls, babies & elderly women... rats',Israel
'#Israel #Gaza #IsraelWar #HamasTerrorists @GaryLineker @OwenJones84 @ElNennY @MoSalah Be ashamed you support terrorists',Israel
'Israelis and American Jews sing Israels National Anthem HaTikvah (The Hope) on the train heading to the DC rally.#StandWithIsraelcredit: Maya Margalit',Israel
'Do you want to become the US president then go ahead and kneel like a good prostitute? #HamasisISIS #HamasTerrorists',Israel
'Thank you New York!Thank you for being a sane and moral voice in these challenging days #AmIsraelChai#Israelunderattack#StandWithIsrael',Israel
'This is- sorry, WAS - Ahmad Bahar, Hamas-Rapists ex-deputy chairman of Rapists ParliamentIDF sent him yesterday to look for his 72 virgins in Rapists HellHe was hiding in terror-tunnel. IDF got him there.Hear that, Coward Ihya Sinwar?NO CEASE FIRE TILL LAST RAPIST IS DEAD!',Israel
'Another #HamasTerrorists mosque was destroyed in the #GazaStrip, and the number is approaching 100. The mosques are the gathering point of the terrorists, an entrance to the #hamastunnels, and a weapons store. This is also a warning to the mosques in #Judaea and #Samaria .',Israel
'Do they look live they live in an open air prison? Dont try to paint the aggressors as victims. Being militarily weak doesnt make you right. You can still be the true aggressor. #HamasISIS #PalestinianTerrorism #IsraelUnderAttack #HamasMassacre',Israel
'SUPER HIGH energy, singing, smiles, and solidarity with Israel at todays MARCH FOR ISRAEL in DC. Gates just opened, and already the crowd is surging into the tens of thousands. A giant show of support.#StandWithIsrael!',Israel
'Captain of the Israeli National Soccer Team Eli Dasa tearfully reveals why the  players went onto the field yesterday with only one shoe.#StandWithIsrael @sport5il @AP',Israel
'IDF eliminado terroristas armados com RPG em Gaza.Um a um todos os terroristas vao ser eliminados.#HamasTerrorists #Israel #StadWithIsrael',Israel
'Every Israeli girl is a terroristThere are no civilians at all They shoot unarmed Palestinians upon suspicion, and there is no law that holds them accountable#FreePalaestin #IsraelIsATerrorist #Insiders #IsraeliTerrorists #HamasISIS',Israel
'We mourn the death of Tiger, an #IDF sniffer dog, who was killed in action yesterday while tracking down five #HamasTerrorists, who were eliminated. May his memory be for a blessing. A true hero.#AmYisraelChai  #StandWithIsrael #HamasisISIS',Israel
'#HamasISIS murderous terrorist organization delivers hostages to the #ShifaHospital terror center which also includes a medical facility in full cooperation with the medics on October 7.',Israel
'When your long career has reached the irrelevant stage you might just be @SusanSarandon. Get over your self absorbed, narcissistic blather about something you know NOTHING about. #HamasTerrorists will be dealt with by the people THEY ATTACKED!',Israel
'Look at the difference between these two marches. One is  a bunch of genocidal maniacs defiling buildings and statues in DC, calling for the eradication of Israel, and the other is calling for peace and return of kidnapped hostages. Which side are you on? #StandWithIsrael',Israel
'There are 2 million Arabs living in Israel.How does that fit your narrative?#StandWithIsrael',Israel
'For all those fucking leftists who are now crowing in unison about the fact that the #Plastelinites do not support #HamasTerrorists: footage of how the cattle depot rejoices on the day of the #October7massacre #Gaza #Palestine #TerroristAttack #Evil',Israel
'What if it happened in your country to your family?#HamasISIS #BringThemHomeNow',Israel
'Lion of the patriotic and fighting brave girls of the #Israeli army the world is with you in this troubled times  #StandWithIsrael',Israel
'This is what a rally for peace prosperity and the return of hostages looks like. #StandWithIsrael #BringThemHome',Israel
'It is definitely difficult to understand. Israel has their foot on Hamas neck. They should deal from a position of strength. This deal does not indicate that. I smell pressure from western governments for them to accept this lopsided negotiation. #StandWithIsrael',Israel
